,sim_time,steps,num_targets,num_conflicts
0,0.0,0,0,0
1,0.0,1,1,0
2,1.82,3,1,0
3,3.63,4,1,0
4,6.03,5,1,0
5,9.02,6,1,0
6,12.62,7,1,0
7,16.82,8,1,0
8,21.61,9,1,0
9,26.99,10,1,0
10,32.96,11,1,0
11,39.54,12,1,0
12,46.74,13,1,0
13,54.54,14,1,0
14,62.92,15,1,0
15,71.9,16,1,0
16,81.48,17,1,0
