,sim_time,steps,num_targets,num_conflicts
0,0.0,0,0,0
1,0.0,1,1,0
2,1.87,3,1,0
3,3.74,4,1,0
4,735.31,6,1,0
5,1102.2,7,1,0
6,1469.79,8,1,0
